dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.160231,21.218510,0.000199,0.019928,0.996380,49.818999,3.010716
0.020000,23.159297,21.218633,0.001142,0.047126,1.359944,18.178206,3.010835
0.020000,23.157194,21.218909,0.003262,0.106031,2.945238,79.264679,3.011101
0.020000,23.153456,21.219399,0.007032,0.188489,4.122864,58.881305,3.011574
0.020000,23.147616,21.220160,0.012922,0.294484,5.299767,58.845143,3.012313
0.020000,23.139440,21.221219,0.021166,0.412217,5.886647,29.344024,3.013346
0.020000,23.128928,21.222568,0.031764,0.529889,5.883588,-0.152945,3.014672
0.020000,23.116081,21.224196,0.044714,0.647481,5.879614,-0.198720,3.016291
0.020000,23.100900,21.226094,0.060013,0.764975,5.874693,-0.246030,3.018200
0.020000,23.083385,21.228247,0.077660,0.882350,5.868789,-0.295189,3.020398
0.020000,23.063537,21.230639,0.097652,0.999588,5.861859,-0.346514,3.022883
0.020000,23.041357,21.233253,0.119985,1.116665,5.853854,-0.400276,3.025651
0.020000,23.016847,21.236070,0.144656,1.233559,5.844719,-0.456751,3.028700
0.020000,22.990009,21.239067,0.171661,1.350247,5.834395,-0.516185,3.032026
0.020000,22.960845,21.242222,0.200995,1.466703,5.822819,-0.578779,3.035626
0.020000,22.929358,21.245510,0.232653,1.582902,5.809925,-0.644732,3.039496
0.020000,22.895552,21.248903,0.266630,1.698815,5.795641,-0.714185,3.043631
0.020000,22.859430,21.252372,0.302918,1.814413,5.779896,-0.787252,3.048025
0.020000,22.820997,21.255889,0.341511,1.929665,5.762616,-0.864002,3.052673
0.020000,22.780259,21.259420,0.382402,2.044539,5.743727,-0.944453,3.057569
0.020000,22.737222,21.262933,0.425582,2.159003,5.723155,-1.028587,3.062707
0.020000,22.691894,21.266394,0.471042,2.273019,5.700829,-1.116315,3.068079
0.020000,22.644282,21.269766,0.518774,2.386553,5.676679,-1.207513,3.073676
0.020000,22.594396,21.273014,0.568765,2.499566,5.650639,-1.301983,3.079492
0.020000,22.542247,21.276099,0.621005,2.612019,5.622649,-1.399479,3.085515
0.020000,22.487846,21.278982,0.675483,2.723872,5.592655,-1.499700,3.091738
0.020000,22.431206,21.281626,0.732184,2.835084,5.560610,-1.602275,3.098149
0.020000,22.372341,21.283990,0.791097,2.945613,5.526474,-1.706791,3.104737
0.020000,22.311267,21.286035,0.852205,3.055418,5.490218,-1.812781,3.111491
0.020000,22.248000,21.287721,0.915494,3.164454,5.451824,-1.919724,3.118398
0.020000,22.182559,21.289008,0.980948,3.272680,5.411282,-2.027074,3.125444
0.020000,22.114964,21.289857,1.048549,3.380052,5.368598,-2.134240,3.132617
0.020000,22.045234,21.290228,1.118279,3.486527,5.323785,-2.240619,3.139900
0.020000,21.973393,21.290084,1.190120,3.592065,5.276873,-2.345589,3.147280
0.020000,21.899464,21.289387,1.264053,3.696623,5.227903,-2.448536,3.154739
0.020000,21.823472,21.288101,1.340056,3.800161,5.176926,-2.548857,3.162263
0.020000,21.745442,21.286191,1.418109,3.902642,5.124006,-2.645978,3.169832
0.020000,21.665403,21.283625,1.498190,4.004026,5.069219,-2.739365,3.177430
0.020000,21.583382,21.280371,1.580275,4.104279,5.012648,-2.828544,3.185038
0.020000,21.499408,21.276399,1.664342,4.203367,4.954386,-2.913108,3.192637
0.020000,21.413512,21.271683,1.750368,4.301257,4.894531,-2.992735,3.200207
0.020000,21.325725,21.266199,1.838326,4.397921,4.833187,-3.067198,3.207729
0.020000,21.236078,21.259924,1.928193,4.493330,4.770460,-3.136376,3.215182
0.020000,21.144823,21.252857,2.019721,4.576426,4.154777,-30.784136,3.222528
0.020000,21.052427,21.245026,2.112448,4.636361,2.996756,-57.901057,3.229715
0.020000,20.959349,21.236473,2.205918,4.673463,1.855085,-57.083546,3.236695
0.020000,20.866042,21.227253,2.299679,4.688073,0.730520,-56.228256,3.243425
0.020000,20.773161,21.217458,2.393075,4.669800,-0.913656,-82.208777,3.249857
0.020000,20.681350,21.207194,2.485458,4.619168,-2.531577,-80.896058,3.255948
0.020000,20.591027,21.196556,2.576406,4.547358,-3.590509,-52.946592,3.261677
0.020000,20.502604,21.185644,2.665500,4.454710,-4.632413,-52.095213,3.267030
0.020000,20.416482,21.174565,2.752331,4.341549,-5.658036,-51.281140,3.271997
0.020000,20.332850,21.163400,2.836705,4.218723,-6.141315,-24.163927,3.276585
0.020000,20.251680,21.152199,2.918645,4.096983,-6.086986,2.716429,3.280813
0.020000,20.172942,21.141008,2.998173,3.976418,-6.028260,2.936296,3.284701
0.020000,20.096611,21.129869,3.075313,3.856996,-5.971106,2.857720,3.288266
0.020000,20.022658,21.118820,3.150087,3.738684,-5.915565,2.777048,3.291528
0.020000,19.951058,21.107893,3.222516,3.621451,-5.861664,2.695024,3.294504
0.020000,19.881786,21.097120,3.292621,3.505263,-5.809419,2.612244,3.297210
0.020000,19.814816,21.086528,3.360423,3.390086,-5.758836,2.529171,3.299663
0.020000,19.750127,21.076142,3.425941,3.275888,-5.709913,2.446163,3.301880
0.020000,19.687695,21.065984,3.489193,3.162635,-5.662643,2.363488,3.303874
0.020000,19.627500,21.056073,3.550199,3.050295,-5.617016,2.281338,3.305663
0.020000,19.569520,21.046426,3.608976,2.938834,-5.573019,2.199843,3.307258
0.020000,19.513737,21.037058,3.665540,2.828222,-5.530638,2.119086,3.308675
0.020000,19.460131,21.027982,3.719909,2.718424,-5.489855,2.039107,3.309927
0.020000,19.408686,21.019210,3.772097,2.609411,-5.450657,1.959917,3.311026
0.020000,19.359383,21.010750,3.822120,2.501151,-5.413027,1.881503,3.311985
0.020000,19.312208,21.002613,3.869992,2.393612,-5.376950,1.803834,3.312815
0.020000,19.267144,20.994804,3.915728,2.286763,-5.342413,1.726863,3.313528
0.020000,19.224178,20.987329,3.959339,2.180575,-5.309402,1.650540,3.314135
0.020000,19.183296,20.980193,4.000839,2.075017,-5.277906,1.574804,3.314645
0.020000,19.144484,20.973400,4.040241,1.970059,-5.247914,1.499596,3.315068
0.020000,19.107732,20.966953,4.077554,1.865671,-5.219417,1.424854,3.315414
0.020000,19.073028,20.960854,4.112790,1.761823,-5.192407,1.350517,3.315692
0.020000,19.040360,20.955105,4.145960,1.658485,-5.166876,1.276529,3.315910
0.020000,19.009719,20.949706,4.177073,1.555629,-5.142820,1.202835,3.316075
0.020000,18.981096,20.944659,4.206137,1.453224,-5.120232,1.129386,3.316195
0.020000,18.954483,20.939963,4.233162,1.351242,-5.099109,1.056136,3.316277
0.020000,18.929870,20.935619,4.258155,1.249653,-5.079448,0.983046,3.316327
0.020000,18.907251,20.931625,4.281124,1.148428,-5.061247,0.910080,3.316351
0.020000,18.886620,20.927983,4.302074,1.047538,-5.044502,0.837208,3.316355
0.020000,18.867969,20.924690,4.321013,0.946954,-5.029214,0.764404,3.316343
0.020000,18.851294,20.921746,4.337946,0.846646,-5.015381,0.691647,3.316321
0.020000,18.836590,20.919150,4.352878,0.746586,-5.003003,0.618919,3.316292
0.020000,18.823852,20.916902,4.365813,0.646744,-4.992079,0.546207,3.316259
0.020000,18.813076,20.915001,4.376755,0.547092,-4.982609,0.473502,3.316227
0.020000,18.804260,20.913446,4.385707,0.447600,-4.974593,0.400795,3.316196
0.020000,18.797401,20.912236,4.392672,0.348240,-4.968031,0.328084,3.316170
0.020000,18.792497,20.911371,4.397651,0.248981,-4.962924,0.255365,3.316151
0.020000,18.789354,20.910817,4.400843,0.159599,-4.469083,24.692059,3.316137
0.020000,18.787582,20.910504,4.402643,0.089975,-3.481224,49.392964,3.316130
0.020000,18.786790,20.910365,4.403447,0.040192,-2.489132,49.604562,3.316126
0.020000,18.786589,20.910329,4.403651,0.010239,-1.497682,49.572511,3.316126
0.020000,18.786586,20.910329,4.403654,0.000109,-0.506483,49.559964,3.316126
0.020000,18.786586,20.910329,4.403654,0.000000,-0.005454,25.051438,3.316126
